Source,Target,Weight,Type
Ahlefeld_Erna_1820_1,Ahlefeld_Erna_1820_2,167,undirected
Ahlefeld_Erna_1820_1,Ahlefeld_Erna_1820_3,38,undirected
Ahlefeld_Erna_1820_1,Ahlefeld_Erna_1820_4,14,undirected
Ahlefeld_Erna_1820_1,Ahlefeld_Erna_1820_5,82,undirected
Ahlefeld_Erna_1820_1,Ahlefeld_Marie_Mueller_1799_1,1,undirected
Ahlefeld_Erna_1820_1,Unger_Albert-und-Albertine_1804_1,1,undirected
Ahlefeld_Erna_1820_2,Ahlefeld_Erna_1820_1,167,undirected
Ahlefeld_Erna_1820_2,Ahlefeld_Erna_1820_3,72,undirected
Ahlefeld_Erna_1820_2,Ahlefeld_Erna_1820_4,128,undirected
Ahlefeld_Erna_1820_2,Ahlefeld_Erna_1820_5,131,undirected
Ahlefeld_Erna_1820_3,Ahlefeld_Erna_1820_1,38,undirected
Ahlefeld_Erna_1820_3,Ahlefeld_Erna_1820_2,72,undirected
Ahlefeld_Erna_1820_3,Ahlefeld_Erna_1820_4,73,undirected
Ahlefeld_Erna_1820_3,Ahlefeld_Erna_1820_5,100,undirected
Ahlefeld_Erna_1820_4,Ahlefeld_Erna_1820_1,14,undirected
Ahlefeld_Erna_1820_4,Ahlefeld_Erna_1820_2,128,undirected
Ahlefeld_Erna_1820_4,Ahlefeld_Erna_1820_3,73,undirected
Ahlefeld_Erna_1820_4,Ahlefeld_Erna_1820_5,94,undirected
Ahlefeld_Erna_1820_5,Ahlefeld_Erna_1820_1,82,undirected
Ahlefeld_Erna_1820_5,Ahlefeld_Erna_1820_2,131,undirected
Ahlefeld_Erna_1820_5,Ahlefeld_Erna_1820_3,100,undirected
Ahlefeld_Erna_1820_5,Ahlefeld_Erna_1820_4,94,undirected
Ahlefeld_Marie_Mueller_1799_1,Ahlefeld_Erna_1820_1,1,undirected
Ahlefeld_Marie_Mueller_1799_1,Ahlefeld_Marie_Mueller_1799_2,171,undirected
Ahlefeld_Marie_Mueller_1799_1,Ahlefeld_Marie_Mueller_1799_3,109,undirected
Ahlefeld_Marie_Mueller_1799_1,Ahlefeld_Marie_Mueller_1799_4,74,undirected
Ahlefeld_Marie_Mueller_1799_2,Ahlefeld_Marie_Mueller_1799_1,171,undirected
Ahlefeld_Marie_Mueller_1799_2,Ahlefeld_Marie_Mueller_1799_3,109,undirected
Ahlefeld_Marie_Mueller_1799_2,Ahlefeld_Marie_Mueller_1799_4,90,undirected
Ahlefeld_Marie_Mueller_1799_3,Ahlefeld_Marie_Mueller_1799_1,109,undirected
Ahlefeld_Marie_Mueller_1799_3,Ahlefeld_Marie_Mueller_1799_2,109,undirected
Ahlefeld_Marie_Mueller_1799_3,Ahlefeld_Marie_Mueller_1799_4,167,undirected
Ahlefeld_Marie_Mueller_1799_4,Ahlefeld_Marie_Mueller_1799_1,74,undirected
Ahlefeld_Marie_Mueller_1799_4,Ahlefeld_Marie_Mueller_1799_2,90,undirected
Ahlefeld_Marie_Mueller_1799_4,Ahlefeld_Marie_Mueller_1799_3,167,undirected
Ahlefeld_Marie_Mueller_1799_4,Unger_Albert-und-Albertine_1804_3,2,undirected
Ahlefeld_Marie_Mueller_1799_4,Unger_Albert-und-Albertine_1804_4,2,undirected
Buchholz_Giftmischerin_1803_1,Buchholz_Giftmischerin_1803_2,157,undirected
Buchholz_Giftmischerin_1803_1,Buchholz_Giftmischerin_1803_3,98,undirected
Buchholz_Giftmischerin_1803_1,Buchholz_Giftmischerin_1803_4,80,undirected
Buchholz_Giftmischerin_1803_1,Unger_Bekenntnisse_1806_1,9,undirected
Buchholz_Giftmischerin_1803_2,Buchholz_Giftmischerin_1803_1,157,undirected
Buchholz_Giftmischerin_1803_2,Buchholz_Giftmischerin_1803_3,152,undirected
Buchholz_Giftmischerin_1803_2,Buchholz_Giftmischerin_1803_4,64,undirected
Buchholz_Giftmischerin_1803_2,Goethe_Lehrjahre_1795_12,1,undirected
Buchholz_Giftmischerin_1803_3,Buchholz_Giftmischerin_1803_1,98,undirected
Buchholz_Giftmischerin_1803_3,Buchholz_Giftmischerin_1803_2,152,undirected
Buchholz_Giftmischerin_1803_3,Buchholz_Giftmischerin_1803_4,163,undirected
Buchholz_Giftmischerin_1803_3,Goethe_Lehrjahre_1795_12,2,undirected
Buchholz_Giftmischerin_1803_4,Buchholz_Giftmischerin_1803_1,80,undirected
Buchholz_Giftmischerin_1803_4,Buchholz_Giftmischerin_1803_2,64,undirected
Buchholz_Giftmischerin_1803_4,Buchholz_Giftmischerin_1803_3,163,undirected
Buchholz_Hermes_1810_1,Buchholz_Hermes_1810_2,146,undirected
Buchholz_Hermes_1810_1,Buchholz_Hermes_1810_3,40,undirected
Buchholz_Hermes_1810_1,Buchholz_Hermes_1810_4,54,undirected
Buchholz_Hermes_1810_2,Buchholz_Hermes_1810_1,146,undirected
Buchholz_Hermes_1810_2,Buchholz_Hermes_1810_3,180,undirected
Buchholz_Hermes_1810_2,Buchholz_Hermes_1810_4,38,undirected
Buchholz_Hermes_1810_2,Buchholz_Hermes_1810_5,3,undirected
Buchholz_Hermes_1810_2,Buchholz_Hermes_1810_6,7,undirected
Buchholz_Hermes_1810_2,Buchholz_Leviathan_1805_1,2,undirected
Buchholz_Hermes_1810_2,Buchholz_Leviathan_1805_6,2,undirected
Buchholz_Hermes_1810_3,Buchholz_Hermes_1810_1,40,undirected
Buchholz_Hermes_1810_3,Buchholz_Hermes_1810_2,180,undirected
Buchholz_Hermes_1810_3,Buchholz_Hermes_1810_4,115,undirected
Buchholz_Hermes_1810_3,Buchholz_Hermes_1810_5,75,undirected
Buchholz_Hermes_1810_3,Buchholz_Hermes_1810_6,2,undirected
Buchholz_Hermes_1810_3,Buchholz_Leviathan_1805_6,3,undirected
Buchholz_Hermes_1810_4,Buchholz_Hermes_1810_1,54,undirected
Buchholz_Hermes_1810_4,Buchholz_Hermes_1810_2,38,undirected
Buchholz_Hermes_1810_4,Buchholz_Hermes_1810_3,115,undirected
Buchholz_Hermes_1810_4,Buchholz_Hermes_1810_5,154,undirected
Buchholz_Hermes_1810_4,Buchholz_Hermes_1810_6,77,undirected
Buchholz_Hermes_1810_4,Buchholz_Leviathan_1805_1,2,undirected
Buchholz_Hermes_1810_4,Buchholz_Leviathan_1805_2,7,undirected
Buchholz_Hermes_1810_4,Buchholz_Leviathan_1805_8,5,undirected
Buchholz_Hermes_1810_5,Buchholz_Hermes_1810_2,3,undirected
Buchholz_Hermes_1810_5,Buchholz_Hermes_1810_3,75,undirected
Buchholz_Hermes_1810_5,Buchholz_Hermes_1810_4,154,undirected
Buchholz_Hermes_1810_5,Buchholz_Hermes_1810_6,145,undirected
Buchholz_Hermes_1810_6,Buchholz_Hermes_1810_2,7,undirected
Buchholz_Hermes_1810_6,Buchholz_Hermes_1810_3,2,undirected
Buchholz_Hermes_1810_6,Buchholz_Hermes_1810_4,77,undirected
Buchholz_Hermes_1810_6,Buchholz_Hermes_1810_5,145,undirected
Buchholz_Hermes_1810_6,Buchholz_Leviathan_1805_1,4,undirected
Buchholz_Hermes_1810_6,Buchholz_Leviathan_1805_2,20,undirected
Buchholz_Hermes_1810_6,Buchholz_Leviathan_1805_8,4,undirected
Buchholz_Leviathan_1805_1,Buchholz_Hermes_1810_2,2,undirected
Buchholz_Leviathan_1805_1,Buchholz_Hermes_1810_4,2,undirected
Buchholz_Leviathan_1805_1,Buchholz_Hermes_1810_6,4,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_2,175,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_3,113,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_4,39,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_5,8,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_6,5,undirected
Buchholz_Leviathan_1805_1,Buchholz_Leviathan_1805_8,84,undirected
Buchholz_Leviathan_1805_2,Buchholz_Hermes_1810_4,7,undirected
Buchholz_Leviathan_1805_2,Buchholz_Hermes_1810_6,20,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_1,175,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_3,152,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_5,54,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_6,4,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_8,104,undirected
Buchholz_Leviathan_1805_2,Buchholz_Leviathan_1805_9,3,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_1,113,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_2,152,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_4,32,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_5,121,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_6,2,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_7,6,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_8,6,undirected
Buchholz_Leviathan_1805_3,Buchholz_Leviathan_1805_9,5,undirected
Buchholz_Leviathan_1805_4,Buchholz_Leviathan_1805_1,39,undirected
Buchholz_Leviathan_1805_4,Buchholz_Leviathan_1805_3,32,undirected
